category,label,sample_count,rms_db_median,rms_db_mean,spectral_centroid_hz_median,spectral_centroid_hz_mean,peak_frequency_hz_median,peak_frequency_hz_mean,low_band_ratio_median,low_band_ratio_mean,mid_band_ratio_median,mid_band_ratio_mean,high_band_ratio_median,high_band_ratio_mean,air_band_ratio_median,air_band_ratio_mean,spectral_flatness_median,spectral_flatness_mean,zero_crossing_rate_median,zero_crossing_rate_mean
bonus,Let's_singing,1,-21.673073,-21.673073,1158.166233,1158.166233,633.333333,633.333333,0.816517,0.816517,0.107769,0.107769,0.064339,0.064339,0.011376,0.011376,0.039329,0.039329,0.194467,0.194467
bonus,Let's_singing2,1,-31.348019,-31.348019,8376.753103,8376.753103,9533.333333,9533.333333,0.096149,0.096149,0.004229,0.004229,0.157446,0.157446,0.742176,0.742176,0.172715,0.172715,0.216388,0.216388
bonus,Let's_singing3,1,-30.439007,-30.439007,3149.548968,3149.548968,566.666667,566.666667,0.601012,0.601012,0.087365,0.087365,0.081009,0.081009,0.230614,0.230614,0.187666,0.187666,0.305080,0.305080
bonus,お歌楽しいな,1,-22.465991,-22.465991,1413.562871,1413.562871,542.222222,542.222222,0.516537,0.516537,0.379780,0.379780,0.100092,0.100092,0.003591,0.003591,0.043842,0.043842,0.129863,0.129863
bonus,じゃあ歌うわよ,1,-20.878159,-20.878159,1212.068054,1212.068054,766.666667,766.666667,0.535142,0.535142,0.434198,0.434198,0.029294,0.029294,0.001367,0.001367,0.011022,0.011022,0.041977,0.041977
bonus,じゃあ歌うわよ2,1,-24.539068,-24.539068,1204.591785,1204.591785,748.888889,748.888889,0.514225,0.514225,0.444852,0.444852,0.040148,0.040148,0.000775,0.000775,0.007358,0.007358,0.039004,0.039004
bonus,では、歌わせていただきます,1,-24.014664,-24.014664,1289.686002,1289.686002,611.111111,611.111111,0.614660,0.614660,0.294502,0.294502,0.089854,0.089854,0.000985,0.000985,0.007443,0.007443,0.101240,0.101240
bonus,では、歌わせていただきます2,1,-24.615250,-24.615250,1233.729069,1233.729069,686.666667,686.666667,0.655050,0.655050,0.255646,0.255646,0.088415,0.088415,0.000889,0.000889,0.004243,0.004243,0.091060,0.091060
bonus,にょほ,2,-22.453621,-22.453621,1175.306652,1175.306652,1221.355001,1221.355001,0.236430,0.236430,0.727228,0.727228,0.034693,0.034693,0.001649,0.001649,0.011878,0.011878,0.070502,0.070502
bonus,にょほう(ω),2,-18.669894,-18.669894,1671.206359,1671.206359,1191.111111,1191.111111,0.048394,0.048394,0.811983,0.811983,0.138957,0.138957,0.000666,0.000666,0.013029,0.013029,0.097057,0.097057
bonus,ねぇ！一緒に歌おうよ,1,-27.885354,-27.885354,2660.467890,2660.467890,1568.888889,1568.888889,0.043163,0.043163,0.503248,0.503248,0.451979,0.451979,0.001610,0.001610,0.016886,0.016886,0.182977,0.182977
bonus,るっ(ω),2,-20.234200,-20.234200,3182.306130,3182.306130,4009.790576,4009.790576,0.213038,0.213038,0.188228,0.188228,0.596844,0.596844,0.001889,0.001889,0.037734,0.037734,0.126375,0.126375
bonus,上手く歌えるかな,1,-30.002561,-30.002561,1067.468551,1067.468551,624.444444,624.444444,0.613878,0.613878,0.342949,0.342949,0.043002,0.043002,0.000171,0.000171,0.005170,0.005170,0.032050,0.032050
bonus,上手く歌えるかな2,1,-25.817768,-25.817768,848.581458,848.581458,620.000000,620.000000,0.780423,0.780423,0.204968,0.204968,0.014356,0.014356,0.000253,0.000253,0.004752,0.004752,0.034116,0.034116
bonus,歌います,1,-35.317417,-35.317417,319.485333,319.485333,506.666667,506.666667,0.979204,0.979204,0.010378,0.010378,0.007499,0.007499,0.002919,0.002919,0.247240,0.247240,0.154102,0.154102
bonus,歌います2,1,-20.405072,-20.405072,1173.829614,1173.829614,1068.888889,1068.888889,0.360085,0.360085,0.590674,0.590674,0.048417,0.048417,0.000824,0.000824,0.006853,0.006853,0.059665,0.059665
bonus,歌います3,1,-12.477985,-12.477985,1555.622109,1555.622109,1400.000000,1400.000000,0.105720,0.105720,0.800490,0.800490,0.091927,0.091927,0.001864,0.001864,0.003709,0.003709,0.065309,0.065309
bonus,歌いますん,2,-15.687795,-15.687795,3911.811421,3911.811421,4568.888889,4568.888889,0.029298,0.029298,0.212782,0.212782,0.756771,0.756771,0.001149,0.001149,0.024706,0.024706,0.207166,0.207166
bonus,歌うよ,1,-19.005309,-19.005309,2000.228631,2000.228631,902.222222,902.222222,0.354034,0.354034,0.370387,0.370387,0.273822,0.273822,0.001757,0.001757,0.015294,0.015294,0.081990,0.081990
bonus,歌っちゃうからね,1,-32.825261,-32.825261,546.783398,546.783398,580.000000,580.000000,0.951811,0.951811,0.021136,0.021136,0.016533,0.016533,0.010520,0.010520,0.103253,0.103253,0.096805,0.096805
bonus,歌っちゃうからね2,1,-16.720081,-16.720081,1408.058386,1408.058386,775.555556,775.555556,0.365008,0.365008,0.548643,0.548643,0.083364,0.083364,0.002985,0.002985,0.028909,0.028909,0.129157,0.129157
bonus,歌っちゃうんだってヴぁ,1,-15.505754,-15.505754,1882.262330,1882.262330,1100.000000,1100.000000,0.037427,0.037427,0.848761,0.848761,0.107493,0.107493,0.006319,0.006319,0.051412,0.051412,0.093530,0.093530
bonus,歌っちゃおうかな,1,-22.442237,-22.442237,910.646247,910.646247,762.222222,762.222222,0.856232,0.856232,0.124745,0.124745,0.018532,0.018532,0.000491,0.000491,0.003783,0.003783,0.086323,0.086323
bonus,歌わせていただきます,1,-27.585479,-27.585479,816.709988,816.709988,653.333333,653.333333,0.921063,0.921063,0.055173,0.055173,0.022706,0.022706,0.001058,0.001058,0.005793,0.005793,0.106279,0.106279
bonus,私の歌、聞いてくれる？,1,-43.931520,-43.931520,876.401972,876.401972,1051.111111,1051.111111,0.690603,0.690603,0.240163,0.240163,0.064124,0.064124,0.005110,0.005110,0.097743,0.097743,0.035477,0.035477
bonus,私の歌、聞いてくれる？2,1,-58.471556,-58.471556,332.137338,332.137338,900.000000,900.000000,0.979606,0.979606,0.007829,0.007829,0.006347,0.006347,0.006218,0.006218,0.362956,0.362956,0.034116,0.034116
bonus,聞いてくれよな,1,-21.319204,-21.319204,1060.719131,1060.719131,642.222222,642.222222,0.705147,0.705147,0.237441,0.237441,0.055300,0.055300,0.002111,0.002111,0.023254,0.023254,0.052106,0.052106
bonus,聞きなさい,1,-20.468728,-20.468728,1057.776637,1057.776637,628.888889,628.888889,0.776101,0.776101,0.158660,0.158660,0.058368,0.058368,0.006870,0.006870,0.024218,0.024218,0.150574,0.150574
bonus,聞きなさい2,1,-18.910436,-18.910436,1283.402958,1283.402958,751.111111,751.111111,0.544552,0.544552,0.373280,0.373280,0.076711,0.076711,0.005457,0.005457,0.016290,0.016290,0.138329,0.138329
bonus,語尾,1,-17.903601,-17.903601,289.267341,289.267341,866.666667,866.666667,0.990917,0.990917,0.005415,0.005415,0.003252,0.003252,0.000416,0.000416,0.011703,0.011703,0.037039,0.037039
bonus,ﾊﾌﾝ(ω),2,-28.467832,-28.467832,1456.930398,1456.930398,505.958549,505.958549,0.554240,0.554240,0.279278,0.279278,0.156069,0.156069,0.010413,0.010413,0.017571,0.017571,0.083170,0.083170
bonus,ﾝﾌﾝ(ω),2,-26.786911,-26.786911,1354.302471,1354.302471,600.000000,600.000000,0.476863,0.476863,0.397943,0.397943,0.123086,0.123086,0.002108,0.002108,0.003645,0.003645,0.088490,0.088490
breath,息,6,-31.773261,-32.955385,3464.286464,3443.876796,2342.183511,3002.209318,0.069239,0.054925,0.406949,0.446186,0.488752,0.471691,0.019037,0.027198,0.161616,0.154730,0.153800,0.147631
breath,息1,2,-34.023053,-34.023053,3814.733277,3814.733277,2297.760059,2297.760059,0.097725,0.097725,0.365150,0.365150,0.445634,0.445634,0.091490,0.091490,0.282678,0.282678,0.146898,0.146898
breath,息2,3,-42.205235,-37.941451,2963.975731,2674.425860,1984.444444,1714.693621,0.112845,0.145689,0.569752,0.534769,0.337517,0.288601,0.036242,0.030941,0.164830,0.152914,0.149819,0.135453
consonant,g'1,1,-17.856938,-17.856938,3898.713430,3898.713430,3446.610169,3446.610169,0.222995,0.222995,0.069511,0.069511,0.621148,0.621148,0.086345,0.086345,0.288854,0.288854,0.236569,0.236569
consonant,g'2,1,-8.863456,-8.863456,262.372539,262.372539,3442.405063,3442.405063,0.990467,0.990467,0.001451,0.001451,0.007439,0.007439,0.000643,0.000643,0.126134,0.126134,0.013371,0.013371
consonant,g1,1,-11.279461,-11.279461,1594.895144,1594.895144,1784.725849,1784.725849,0.361930,0.361930,0.553067,0.553067,0.073779,0.073779,0.011225,0.011225,0.054334,0.054334,0.066667,0.066667
consonant,g2,1,-21.415638,-21.415638,450.660899,450.660899,561.068702,561.068702,0.967792,0.967792,0.028670,0.028670,0.003498,0.003498,0.000039,0.000039,0.002309,0.002309,0.015306,0.015306
consonant,k'1,1,-16.347468,-16.347468,4210.428894,4210.428894,3389.673913,3389.673913,0.123298,0.123298,0.066523,0.066523,0.763943,0.763943,0.046236,0.046236,0.235983,0.235983,0.166969,0.166969
consonant,k'2,1,-15.767390,-15.767390,250.742124,250.742124,501.136364,501.136364,0.997013,0.997013,0.001106,0.001106,0.001520,0.001520,0.000362,0.000362,0.087106,0.087106,0.009101,0.009101
consonant,k1,1,-12.965577,-12.965577,1689.487585,1689.487585,1792.344045,1792.344045,0.353014,0.353014,0.547683,0.547683,0.080250,0.080250,0.019053,0.019053,0.098431,0.098431,0.065279,0.065279
consonant,k2,1,-10.436707,-10.436707,608.042859,608.042859,791.688830,791.688830,0.876957,0.876957,0.121331,0.121331,0.001668,0.001668,0.000044,0.000044,0.000708,0.000708,0.025283,0.025283
h_fricative,は,18,-19.612168,-24.782260,1392.287383,1524.770917,1269.444444,1259.259259,0.159311,0.222423,0.771633,0.694904,0.039812,0.079375,0.000089,0.003299,0.001401,0.021053,0.064571,0.069618
h_fricative,ひ,18,-19.823667,-26.417310,1338.786283,1393.295005,3288.888889,2666.975309,0.720973,0.705383,0.008482,0.051605,0.158793,0.235807,0.000638,0.007205,0.021517,0.079229,0.119629,0.110194
