speaker_dir,character_name,subset,category,label,path,sample_rate,segment_duration_sec,rms_db,spectral_centroid_hz,peak_frequency_hz,low_band_ratio,mid_band_ratio,high_band_ratio,air_band_ratio,spectral_flatness,zero_crossing_rate
maoto,消臭妖精ノール,単独音,sibilant,さ,research/data/raw/reference/utau-samples/maoto/単独音/さ.wav,44100,0.180000,-17.862878,845.063619,1088.888889,0.449040,0.548609,0.002253,0.000098,0.001262,0.062744
maoto,消臭妖精ノール,単独音,sibilant,し,research/data/raw/reference/utau-samples/maoto/単独音/し.wav,44100,0.180000,-22.039527,5747.933908,5222.222222,0.008537,0.016591,0.924917,0.049956,0.133934,0.242661
maoto,消臭妖精ノール,単独音,sibilant,す,research/data/raw/reference/utau-samples/maoto/単独音/す.wav,44100,0.180000,-25.406470,6175.286223,7427.777778,0.125165,0.058515,0.550664,0.265656,0.315852,0.270505
maoto,消臭妖精ノール,単独音,sibilant,せ,research/data/raw/reference/utau-samples/maoto/単独音/せ.wav,44100,0.180000,-17.053937,536.135682,716.666667,0.927966,0.068085,0.003737,0.000212,0.003835,0.085171
maoto,消臭妖精ノール,単独音,sibilant,そ,research/data/raw/reference/utau-samples/maoto/単独音/そ.wav,44100,0.180000,-15.278318,775.720799,750.000000,0.641477,0.356762,0.001590,0.000171,0.001130,0.077737
maoto,消臭妖精ノール,単独音,h_fricative,は,research/data/raw/reference/utau-samples/maoto/単独音/は.wav,44100,0.180000,-16.789801,1008.921608,1377.777778,0.373038,0.620622,0.006305,0.000034,0.001325,0.059594
maoto,消臭妖精ノール,単独音,h_fricative,ひ,research/data/raw/reference/utau-samples/maoto/単独音/ひ.wav,44100,0.180000,-15.600787,428.284209,3616.666667,0.979739,0.001205,0.018986,0.000071,0.034638,0.063626
maoto,消臭妖精ノール,単独音,h_fricative,ふ,research/data/raw/reference/utau-samples/maoto/単独音/ふ.wav,44100,0.180000,-13.116435,406.099213,733.333333,0.986803,0.012037,0.001141,0.000019,0.002984,0.035152
maoto,消臭妖精ノール,単独音,h_fricative,へ,research/data/raw/reference/utau-samples/maoto/単独音/へ.wav,44100,0.180000,-14.692466,717.515511,738.888889,0.847950,0.144565,0.007419,0.000067,0.000826,0.037294
maoto,消臭妖精ノール,単独音,h_fricative,ほ,research/data/raw/reference/utau-samples/maoto/単独音/ほ.wav,44100,0.180000,-14.113588,884.261374,1066.666667,0.329395,0.670189,0.000402,0.000014,0.000109,0.046743
maoto,消臭妖精ノール,単独音soft,sibilant,さ,research/data/raw/reference/utau-samples/maoto/単独音soft/さ.wav,44100,0.180000,-20.055583,1044.635313,1022.222222,0.450013,0.520787,0.011123,0.018076,0.032775,0.250976
maoto,消臭妖精ノール,単独音soft,sibilant,し,research/data/raw/reference/utau-samples/maoto/単独音soft/し.wav,44100,0.180000,-21.885651,6824.080610,6111.111111,0.000428,0.001619,0.861701,0.136253,0.097781,0.297846
maoto,消臭妖精ノール,単独音soft,sibilant,す,research/data/raw/reference/utau-samples/maoto/単独音soft/す.wav,44100,0.180000,-25.619816,7250.581363,6344.444444,0.005027,0.006102,0.719443,0.269428,0.147216,0.293436
maoto,消臭妖精ノール,単独音soft,sibilant,せ,research/data/raw/reference/utau-samples/maoto/単独音soft/せ.wav,44100,0.180000,-21.821184,3523.346569,677.777778,0.609672,0.037352,0.067788,0.285188,0.180904,0.297720
maoto,消臭妖精ノール,単独音soft,sibilant,そ,research/data/raw/reference/utau-samples/maoto/単独音soft/そ.wav,44100,0.180000,-22.079205,4660.742329,1011.111111,0.357707,0.124415,0.174891,0.342988,0.196672,0.292680
maoto,消臭妖精ノール,単独音soft,h_fricative,は,research/data/raw/reference/utau-samples/maoto/単独音soft/は.wav,44100,0.180000,-16.977158,1207.045743,1338.888889,0.233218,0.762747,0.003927,0.000107,0.001737,0.059090
maoto,消臭妖精ノール,単独音soft,h_fricative,ひ,research/data/raw/reference/utau-samples/maoto/単独音soft/ひ.wav,44100,0.180000,-19.686753,1687.513310,4144.444444,0.716432,0.009761,0.257939,0.015869,0.201225,0.160640
maoto,消臭妖精ノール,単独音soft,h_fricative,ふ,research/data/raw/reference/utau-samples/maoto/単独音soft/ふ.wav,44100,0.180000,-15.402791,394.362251,677.777778,0.976442,0.020837,0.002596,0.000126,0.007995,0.030868
maoto,消臭妖精ノール,単独音soft,h_fricative,へ,research/data/raw/reference/utau-samples/maoto/単独音soft/へ.wav,44100,0.180000,-17.074256,755.209108,688.888889,0.717621,0.262460,0.019579,0.000340,0.007495,0.056445
maoto,消臭妖精ノール,単独音soft,h_fricative,ほ,research/data/raw/reference/utau-samples/maoto/単独音soft/ほ.wav,44100,0.180000,-14.943988,920.672164,1050.000000,0.320376,0.672364,0.006908,0.000352,0.001021,0.051909
maoto,消臭妖精ノール,単独音vivid,sibilant,さ,research/data/raw/reference/utau-samples/maoto/単独音vivid/さ.wav,44100,0.180000,-18.030898,1671.067164,1088.888889,0.035596,0.905312,0.058944,0.000147,0.003812,0.060350
maoto,消臭妖精ノール,単独音vivid,sibilant,し,research/data/raw/reference/utau-samples/maoto/単独音vivid/し.wav,44100,0.180000,-18.482294,5849.996562,6416.666667,0.144853,0.002463,0.749356,0.103329,0.094149,0.241527
maoto,消臭妖精ノール,単独音vivid,sibilant,す,research/data/raw/reference/utau-samples/maoto/単独音vivid/す.wav,44100,0.180000,-22.570982,6424.213321,5688.888889,0.077302,0.016072,0.667297,0.239329,0.236211,0.259166
maoto,消臭妖精ノール,単独音vivid,sibilant,せ,research/data/raw/reference/utau-samples/maoto/単独音vivid/せ.wav,44100,0.180000,-22.472934,1223.945087,822.222222,0.864915,0.057333,0.033171,0.044581,0.102188,0.274033
maoto,消臭妖精ノール,単独音vivid,sibilant,そ,research/data/raw/reference/utau-samples/maoto/単独音vivid/そ.wav,44100,0.180000,-18.887727,1236.714294,1116.666667,0.235615,0.739756,0.024047,0.000582,0.007232,0.188988
maoto,消臭妖精ノール,単独音vivid,h_fricative,は,research/data/raw/reference/utau-samples/maoto/単独音vivid/は.wav,44100,0.180000,-18.130666,1893.035728,1505.555556,0.016001,0.862334,0.121624,0.000041,0.002637,0.093360
maoto,消臭妖精ノール,単独音vivid,h_fricative,ひ,research/data/raw/reference/utau-samples/maoto/単独音vivid/ひ.wav,44100,0.180000,-18.356278,2393.783674,3594.444444,0.417299,0.004149,0.577957,0.000594,0.010419,0.152577
