voice_id,speaker_dir,character_name,subset,sample_count,reliable_sample_count,valid_ratio_count,frequency_scale_median,tract_scale_raw,tract_scale,f1_scale_median,f2_scale_median,f3_scale_median,notes
maoto::単独音,maoto,消臭妖精ノール,単独音,5,5,12,0.993583,1.006459,1.006459,1.030370,0.987165,0.893198,
はるかぜちゃん::単独音A,はるかぜちゃん,春音ハナ,単独音A,5,5,11,0.974570,1.026094,1.026094,1.004382,0.985715,0.800582,
はるかぜちゃん::単独音B,はるかぜちゃん,風音フナ,単独音B,5,5,11,1.000319,0.999681,0.999681,1.121120,1.048592,0.900580,
ろん::単独音,ろん,天羽ソラtypeLON,単独音,5,5,15,0.955278,1.046815,1.046815,0.903721,0.974369,0.955278,
平野文::単独音,平野文,星野フミカ,単独音,5,2,5,1.080883,0.925170,0.925170,0.989107,1.098546,1.064708,few_valid_formants
弟の姉::単独音,弟の姉,姉音モネ,単独音,5,5,12,0.980000,1.020408,1.020408,1.010475,0.910276,0.922732,
新井里美::単独音,新井里美,みつこ,単独音,5,5,12,1.020888,0.979540,0.979540,0.976574,1.070556,1.020470,
水原薫::単独音,水原薫,みずお,単独音,5,5,12,1.000000,1.000000,1.000000,0.889400,1.012835,0.959169,
真田アサミ::単独音,真田アサミ,アサ音さな,単独音,5,5,13,1.051051,0.951428,0.951428,1.083290,1.139794,1.015907,
転少女（コロスケ）::単独音,転少女（コロスケ）,転音コロ,単独音,5,5,12,1.000000,1.000000,1.000000,1.023418,1.045808,0.986022,
金田朋子::単独音,金田朋子,奏音トモ,単独音,5,5,12,0.964385,1.036930,1.036930,0.984381,0.870988,1.005645,
門脇舞以::単独音_PLANE,門脇舞以,まいた,単独音_PLANE,5,5,15,0.941882,1.061705,1.061705,0.841571,0.911574,1.052190,
