voice_id,speaker_dir,character_name,subset,sample_count,f0_hz_median,f0_hz_mean,f0_std_cents_median,f0_std_cents_mean,rms_db_median,rms_db_mean,rms_std_db_median,rms_std_db_mean,spectral_centroid_hz_median,spectral_centroid_hz_mean,spectral_rolloff95_hz_median,spectral_rolloff95_hz_mean,low_band_ratio_median,low_band_ratio_mean,mid_band_ratio_median,mid_band_ratio_mean,high_band_ratio_median,high_band_ratio_mean,spectral_slope_db_per_khz_median,spectral_slope_db_per_khz_mean,harmonic_slope_db_per_harmonic_median,harmonic_slope_db_per_harmonic_mean,nonharmonic_energy_ratio_median,nonharmonic_energy_ratio_mean
maoto::単独音,maoto,消臭妖精ノール,単独音,5,344.531250,346.167569,10.137074,66.335515,-12.872690,-13.499537,0.151948,0.176724,804.898350,720.072848,1382.222222,1384.888889,0.664226,0.663429,0.323334,0.325155,0.004581,0.011417,-1.258907,-0.796765,-3.075643,-3.049127,0.006704,0.009482
maoto::単独音soft,maoto,消臭妖精ノール,単独音soft,5,341.860465,340.290677,10.167052,62.516750,-13.953366,-14.109316,0.213691,0.206911,676.416541,663.779525,1022.222222,1093.777778,0.788102,0.744870,0.197723,0.239729,0.013169,0.015400,-0.838029,-0.562815,-2.877424,-2.837836,0.017749,0.017324
maoto::単独音vivid,maoto,消臭妖精ノール,単独音vivid,5,350.000000,351.137851,15.278013,67.307817,-16.225345,-16.349717,0.401545,0.411702,1770.870059,1723.730376,4904.444444,4962.666667,0.380041,0.367025,0.383390,0.413456,0.236568,0.219519,2.850647,3.374351,-0.944757,-1.031663,0.127054,0.132942
はるかぜちゃん::単独音A,はるかぜちゃん,春音ハナ,単独音A,5,404.587156,405.377641,16.155468,153.819897,-28.063152,-27.707263,0.448276,0.414335,1041.541832,1065.645447,2004.444444,2435.111111,0.617771,0.619748,0.139426,0.291139,0.035245,0.089113,2.101396,2.949230,-2.180522,-1.691924,0.015845,0.024543
はるかぜちゃん::単独音B,はるかぜちゃん,風音フナ,単独音B,5,441.000000,439.288230,13.237584,115.223289,-23.709609,-23.104137,0.526246,0.586005,1536.603784,1535.863388,4371.111111,3715.111111,0.502850,0.494977,0.087759,0.315837,0.191438,0.189185,3.117280,2.490682,-1.639802,-1.753727,0.042666,0.081783
ろん::単独音,ろん,天羽ソラtypeLON,単独音,5,199.547511,200.126806,5.976471,6.356945,-14.619495,-14.973145,0.248673,0.240449,569.356243,547.565076,988.888889,1080.888889,0.986300,0.935867,0.011835,0.057059,0.006483,0.007075,-1.146174,-0.173740,-1.571718,-1.390250,0.001979,0.001432
平野文::単独音,平野文,星野フミカ,単独音,5,315.000000,313.294602,12.225699,15.080505,-30.584126,-29.924586,0.663111,0.874634,887.073947,1083.247982,3062.222222,2830.222222,0.906928,0.699509,0.041694,0.191406,0.051378,0.109085,1.759021,3.150270,-1.715270,-1.043047,0.042634,0.040570
弟の姉::単独音,弟の姉,姉音モネ,単独音,5,260.946746,260.650650,8.756652,61.696511,-18.823392,-18.076057,0.212382,0.241435,2015.552325,2296.196486,4451.111111,3903.555555,0.139799,0.321072,0.123216,0.276266,0.378314,0.402661,3.567748,4.910823,-0.620607,-0.272585,0.036998,0.055796
新井里美::単独音,新井里美,みつこ,単独音,5,310.563380,308.838028,18.773317,87.853930,-25.464073,-25.414689,0.675011,0.577620,1444.192529,1826.645365,4328.888889,4152.888889,0.237893,0.383519,0.232304,0.304750,0.105326,0.311731,2.507260,4.598942,-1.103124,-0.756101,0.061278,0.085154
水原薫::単独音,水原薫,みずお,単独音,5,329.104478,330.124264,11.032497,63.299611,-13.400282,-13.717795,0.620840,0.597548,664.545935,648.278362,984.444444,1381.777777,0.955582,0.953500,0.028250,0.032985,0.001783,0.013515,0.220095,0.897267,-2.915901,-2.438291,0.001781,0.004154
