speaker_dir,character_name,subset,vowel,source_label,path,sample_rate,segment_duration_sec,f0_hz,f0_std_cents,rms_db,rms_std_db,spectral_centroid_hz,spectral_rolloff95_hz,low_band_ratio,mid_band_ratio,high_band_ratio,spectral_slope_db_per_khz,harmonic_slope_db_per_harmonic,nonharmonic_energy_ratio
maoto,消臭妖精ノール,単独音,a,あ,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,0.450000,344.531250,9.076135,-12.855693,0.268505,922.871668,1733.333333,0.395327,0.601321,0.003352,-3.524527,-3.961506,0.006704
maoto,消臭妖精ノール,単独音,i,い,research/data/raw/reference/utau-samples/maoto/単独音/い.wav,44100,0.450000,350.000000,24.392686,-11.777614,0.239780,475.333336,700.000000,0.962839,0.002375,0.034785,4.345131,-1.774941,0.021530
maoto,消臭妖精ノール,単独音,u,う,research/data/raw/reference/utau-samples/maoto/単独音/う.wav,44100,0.450000,347.244094,10.137074,-14.410910,0.085312,463.021787,697.777778,0.955292,0.042782,0.001926,-1.106066,-3.075643,0.001976
maoto,消臭妖精ノール,単独音,e,え,research/data/raw/reference/utau-samples/maoto/単独音/え.wav,44100,0.450000,344.531250,278.118386,-15.580779,0.138076,804.898350,2411.111111,0.664226,0.323334,0.012439,-1.258907,-2.760871,0.013577
maoto,消臭妖精ノール,単独音,o,お,research/data/raw/reference/utau-samples/maoto/単独音/お.wav,44100,0.450000,344.531250,9.953295,-12.872690,0.151948,934.239098,1382.222222,0.339459,0.655961,0.004581,-2.439455,-3.672676,0.003621
maoto,消臭妖精ノール,単独音soft,a,あ,research/data/raw/reference/utau-samples/maoto/単独音soft/あ.wav,44100,0.450000,339.230769,9.481950,-16.305323,0.213691,906.816796,1717.777778,0.526349,0.460482,0.013169,-2.512435,-3.107181,0.028656
maoto,消臭妖精ノール,単独音soft,i,い,research/data/raw/reference/utau-samples/maoto/単独音soft/い.wav,44100,0.450000,341.860465,274.184886,-14.258123,0.131409,479.205361,680.000000,0.958363,0.004755,0.036882,3.107778,-2.135683,0.020124
maoto,消臭妖精ノール,単独音soft,u,う,research/data/raw/reference/utau-samples/maoto/単独音soft/う.wav,44100,0.450000,341.860465,11.044578,-13.953366,0.103907,444.514791,686.666667,0.961740,0.030316,0.007943,-0.420177,-2.877424,0.009328
maoto,消臭妖精ノール,単独音soft,e,え,research/data/raw/reference/utau-samples/maoto/単独音soft/え.wav,44100,0.450000,336.641221,10.167052,-13.213344,0.299183,676.416541,1022.222222,0.788102,0.197723,0.014172,-0.838029,-2.542046,0.017749
maoto,消臭妖精ノール,単独音soft,o,お,research/data/raw/reference/utau-samples/maoto/単独音soft/お.wav,44100,0.450000,341.860465,7.705286,-12.816423,0.286363,811.944136,1362.222222,0.489796,0.505368,0.004835,-2.151214,-3.526847,0.010762
maoto,消臭妖精ノール,単独音vivid,a,あ,research/data/raw/reference/utau-samples/maoto/単独音vivid/あ.wav,44100,0.450000,355.645161,18.545514,-19.095156,0.610031,1770.870059,4548.888889,0.107483,0.796310,0.096206,0.633980,-2.022614,0.178994
maoto,消臭妖精ノール,単独音vivid,i,い,research/data/raw/reference/utau-samples/maoto/単独音vivid/い.wav,44100,0.450000,347.244094,15.278013,-16.225345,0.589252,1859.382146,4786.666667,0.582390,0.006064,0.411546,9.060542,0.123822,0.229624
maoto,消臭妖精ノール,単独音vivid,u,う,research/data/raw/reference/utau-samples/maoto/単独音vivid/う.wav,44100,0.450000,352.800000,12.334554,-14.382134,0.401545,1623.713567,4940.000000,0.687138,0.048502,0.264360,3.459409,-0.723844,0.086552
maoto,消臭妖精ノール,単独音vivid,e,え,research/data/raw/reference/utau-samples/maoto/単独音vivid/え.wav,44100,0.450000,350.000000,13.332002,-16.371114,0.161685,1909.990604,5633.333333,0.380041,0.383390,0.236568,2.850647,-0.944757,0.127054
maoto,消臭妖精ノール,単独音vivid,o,お,research/data/raw/reference/utau-samples/maoto/単独音vivid/お.wav,44100,0.450000,350.000000,277.049003,-15.674834,0.295999,1454.695503,4904.444444,0.078071,0.833016,0.088913,0.867179,-1.590920,0.042488
はるかぜちゃん,春音ハナ,単独音A,a,あ,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/あ.wav,44100,0.450000,400.909091,451.996442,-29.785216,0.516641,1216.691414,2004.444444,0.270487,0.694267,0.035245,0.035737,-2.423598,0.015845
はるかぜちゃん,春音ハナ,単独音A,i,い,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/い.wav,44100,0.450000,412.149533,16.155468,-28.063152,0.448276,949.556546,4108.888889,0.850494,0.001175,0.148331,9.413727,0.123829,0.031987
はるかぜちゃん,春音ハナ,単独音A,u,う,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/う.wav,44100,0.450000,408.333333,274.598943,-27.446608,0.523285,479.554688,415.555556,0.973094,0.015361,0.011544,2.101396,-2.180522,0.007033
はるかぜちゃん,春音ハナ,単独音A,e,え,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/え.wav,44100,0.450000,400.909091,11.935132,-29.213694,0.200446,1640.882757,4422.222222,0.617771,0.139426,0.242802,3.595088,-1.080523,0.062161
はるかぜちゃん,春音ハナ,単独音A,o,お,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/お.wav,44100,0.450000,404.587156,14.413501,-24.027645,0.383029,1041.541832,1224.444444,0.386893,0.605466,0.007641,-0.399798,-2.898807,0.005690
はるかぜちゃん,風音フナ,単独音B,a,あ,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/あ.wav,44100,0.450000,432.352941,274.055606,-22.425934,0.927142,1546.321639,2177.777778,0.131498,0.843726,0.024776,-1.120241,-3.068116,0.025752
はるかぜちゃん,風音フナ,単独音B,i,い,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/い.wav,44100,0.450000,441.000000,13.237584,-25.773229,0.423375,1536.603784,4895.555556,0.719100,0.001614,0.279286,8.169180,0.166100,0.158823
はるかぜちゃん,風音フナ,単独音B,u,う,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/う.wav,44100,0.450000,445.454545,272.580997,-25.204941,0.800224,1410.607559,5353.333333,0.756595,0.051959,0.191438,3.117280,-1.639802,0.146006
はるかぜちゃん,風音フナ,単独音B,e,え,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/え.wav,44100,0.450000,436.633663,7.161678,-23.709609,0.253038,1899.205103,4371.111111,0.502850,0.087759,0.409391,3.271678,-1.137526,0.042666
