speaker_dir,character_name,subset,vowel,source_label,path,sample_rate,segment_duration_sec,f0_hz,f1_hz,f2_hz,f3_hz,b1_hz,b2_hz,b3_hz,g1_db,g2_db,g3_db,rms_db,confidence,notes
maoto,消臭妖精ノール,単独音,a,あ,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,0.450000,344.531,1063.599,,1811.918,118.596,,100.058,0.000,,-14.037,-12.856,0.667,missing_2
maoto,消臭妖精ノール,単独音,i,い,research/data/raw/reference/utau-samples/maoto/単独音/い.wav,44100,0.450000,350.000,372.129,2872.842,4087.860,37.468,194.706,60.658,-5.486,-34.479,0.000,-11.778,1.000,
maoto,消臭妖精ノール,単独音,u,う,research/data/raw/reference/utau-samples/maoto/単独音/う.wav,44100,0.450000,347.244,593.495,,1747.280,148.783,,37.217,-22.804,,0.000,-14.411,0.667,missing_2
maoto,消臭妖精ノール,単独音,e,え,research/data/raw/reference/utau-samples/maoto/単独音/え.wav,44100,0.450000,344.531,587.211,2545.402,2943.871,332.837,117.870,283.557,-19.769,0.000,-24.497,-15.581,1.000,
maoto,消臭妖精ノール,単独音,o,お,research/data/raw/reference/utau-samples/maoto/単独音/お.wav,44100,0.450000,344.531,,956.507,3552.005,,108.421,689.015,,0.000,-18.912,-12.873,0.667,missing_1
maoto,消臭妖精ノール,単独音soft,a,あ,research/data/raw/reference/utau-samples/maoto/単独音soft/あ.wav,44100,0.450000,339.231,918.617,1521.328,1968.436,255.824,189.139,127.296,0.000,-0.110,-12.393,-16.305,1.000,
maoto,消臭妖精ノール,単独音soft,i,い,research/data/raw/reference/utau-samples/maoto/単独音soft/い.wav,44100,0.450000,341.860,357.347,2904.009,3815.172,21.770,393.945,68.768,0.000,-26.965,-1.506,-14.258,1.000,
maoto,消臭妖精ノール,単独音soft,u,う,research/data/raw/reference/utau-samples/maoto/単独音soft/う.wav,44100,0.450000,341.860,424.251,1302.144,1979.310,83.717,436.957,74.789,0.000,-8.889,-0.026,-13.953,1.000,
maoto,消臭妖精ノール,単独音soft,e,え,research/data/raw/reference/utau-samples/maoto/単独音soft/え.wav,44100,0.450000,336.641,836.102,2584.843,3762.927,180.536,101.580,163.271,-12.369,-11.477,0.000,-13.213,1.000,
maoto,消臭妖精ノール,単独音soft,o,お,research/data/raw/reference/utau-samples/maoto/単独音soft/お.wav,44100,0.450000,341.860,717.165,1088.715,1720.524,302.069,128.066,321.482,-6.157,-2.896,0.000,-12.816,1.000,
maoto,消臭妖精ノール,単独音vivid,a,あ,research/data/raw/reference/utau-samples/maoto/単独音vivid/あ.wav,44100,0.450000,355.645,1048.707,1770.855,2378.362,203.122,123.085,619.589,0.000,-5.777,-37.666,-19.095,1.000,
maoto,消臭妖精ノール,単独音vivid,i,い,research/data/raw/reference/utau-samples/maoto/単独音vivid/い.wav,44100,0.450000,347.244,401.014,,3503.131,78.468,,83.066,-42.275,,0.000,-16.225,0.667,missing_2
maoto,消臭妖精ノール,単独音vivid,u,う,research/data/raw/reference/utau-samples/maoto/単独音vivid/う.wav,44100,0.450000,352.800,502.634,,1766.978,125.867,,75.076,-8.049,,0.000,-14.382,0.667,missing_2
maoto,消臭妖精ノール,単独音vivid,e,え,research/data/raw/reference/utau-samples/maoto/単独音vivid/え.wav,44100,0.450000,350.000,,2591.747,3265.820,,103.816,378.916,,0.000,-13.611,-16.371,0.667,missing_1
maoto,消臭妖精ノール,単独音vivid,o,お,research/data/raw/reference/utau-samples/maoto/単独音vivid/お.wav,44100,0.450000,350.000,,1048.208,1715.963,,41.289,99.058,,0.000,-29.741,-15.675,0.667,missing_1
はるかぜちゃん,春音ハナ,単独音A,a,あ,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/あ.wav,44100,0.450000,400.909,,1224.557,1970.601,,94.125,157.398,,0.000,-7.380,-29.785,0.667,missing_1
はるかぜちゃん,春音ハナ,単独音A,i,い,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/い.wav,44100,0.450000,412.150,,1665.485,3715.418,,336.835,71.748,,-45.042,0.000,-28.063,0.667,missing_1
はるかぜちゃん,春音ハナ,単独音A,u,う,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/う.wav,44100,0.450000,408.333,424.865,1595.444,,20.527,37.607,,0.000,-28.944,,-27.447,0.667,missing_3
はるかぜちゃん,春音ハナ,単独音A,e,え,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/え.wav,44100,0.450000,400.909,787.522,2646.894,3243.147,127.970,292.987,276.603,0.000,-33.000,-13.450,-29.214,1.000,
はるかぜちゃん,春音ハナ,単独音A,o,お,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/お.wav,44100,0.450000,404.587,718.790,,2116.746,64.968,,503.150,0.000,,-24.402,-24.028,0.667,missing_2
はるかぜちゃん,風音フナ,単独音B,a,あ,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/あ.wav,44100,0.450000,432.353,,1356.701,2131.591,,107.510,101.798,,-0.614,0.000,-22.426,0.667,missing_1
はるかぜちゃん,風音フナ,単独音B,i,い,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/い.wav,44100,0.450000,441.000,,3192.090,3969.866,,240.411,55.100,,-38.693,0.000,-25.773,0.667,missing_1
