vowel,formant,source_count,reliable_count,generated_frequency,current_frequency,frequency_delta,generated_bandwidth,current_bandwidth,bandwidth_delta,generated_gain,current_gain,gain_delta
a,F1,18,17,962,730,232,123,90,33,0.462,1.000,-0.538
a,F2,18,17,1405,1090,315,74,110,-36,1.000,0.550,0.450
a,F3,18,17,2378,2440,-62,102,160,-58,0.229,0.350,-0.121
i,F1,18,18,376,270,106,52,60,-8,0.309,1.000,-0.691
i,F2,18,18,2831,2290,541,195,100,95,0.278,0.500,-0.222
i,F3,18,18,3725,3010,715,85,120,-35,0.959,0.300,0.659
u,F1,18,17,498,300,198,80,70,10,0.499,1.000,-0.501
u,F2,18,17,1326,870,456,98,90,8,0.448,0.600,-0.152
u,F3,18,17,1762,2240,-478,75,140,-65,0.997,0.300,0.697
e,F1,18,18,665,530,135,60,80,-20,0.501,1.000,-0.499
e,F2,18,18,2354,1840,514,128,100,28,0.120,0.550,-0.430
e,F3,18,18,3270,2480,790,128,150,-22,0.293,0.350,-0.057
o,F1,18,17,717,570,147,67,80,-13,0.178,1.000,-0.822
o,F2,18,17,1048,840,208,68,90,-22,1.000,0.600,0.400
o,F3,18,17,3171,2410,761,229,150,79,0.120,0.300,-0.180
