speaker_dir,character_name,subset,wav_filename,alias,previous_vowel,target_label,next_vowel,transition,offset_ms,consonant_ms,cutoff_ms,preutterance_ms,overlap_ms,transition_start_ms,vowel_start_ms,consonant_start_ms,consonant_end_ms,transition_ms
maoto,消臭妖精ノール,連続音,_あめうぇりゃえしょ.wav,a め,a,め,e,a->e,720.000000,375.000000,-583.333000,250.000000,83.333000,803.333000,970.000000,720.000000,1095.000000,166.667000
maoto,消臭妖精ノール,連続音,_あめうぇりゃえしょ.wav,e うぇ,e,うぇ,e,e->e,1190.000000,375.000000,-583.333000,250.000000,83.333000,1273.333000,1440.000000,1190.000000,1565.000000,166.667000
maoto,消臭妖精ノール,連続音,_あめうぇりゃえしょ.wav,e りゃ,e,りゃ,a,e->a,1669.945000,375.000000,-583.333000,250.000000,83.333000,1753.278000,1919.945000,1669.945000,2044.945000,166.667000
maoto,消臭妖精ノール,連続音,_あめうぇりゃえしょ.wav,a え,a,え,e,a->e,2201.454000,375.000000,-545.585000,250.000000,83.332000,2284.786000,2451.454000,2201.454000,2576.454000,166.668000
maoto,消臭妖精ノール,連続音,_あめうぇりゃえしょ.wav,e しょ,e,しょ,o,e->o,2680.000000,375.000000,-915.827000,250.000000,83.332000,2763.332000,2930.000000,2680.000000,3055.000000,166.668000
maoto,消臭妖精ノール,連続音,_いうぁんヴぃちゅん.wav,i うぁ,i,うぁ,a,i->a,666.706000,375.000000,-618.885000,250.000000,83.332000,750.038000,916.706000,666.706000,1041.706000,166.668000
maoto,消臭妖精ノール,連続音,_いうぁんヴぃちゅん.wav,i ちゅ,i,ちゅ,u,i->u,2210.000000,375.000000,-652.988000,250.000000,83.333000,2293.333000,2460.000000,2210.000000,2585.000000,166.667000
maoto,消臭妖精ノール,連続音,_いくんぎぇいう.wav,i く,i,く,u,i->u,677.718000,375.000000,-583.333000,250.000000,83.333000,761.051000,927.718000,677.718000,1052.718000,166.667000
maoto,消臭妖精ノール,連続音,_いくんぎぇいう.wav,e い,e,い,i,e->i,2191.798000,375.000000,-610.626000,250.000000,83.333000,2275.131000,2441.798000,2191.798000,2566.798000,166.667000
maoto,消臭妖精ノール,連続音,_いくんぎぇいう.wav,i う,i,う,u,i->u,2643.268000,375.000000,-1001.536000,250.000000,83.333000,2726.601000,2893.268000,2643.268000,3018.268000,166.667000
maoto,消臭妖精ノール,連続音,_いざんひどん.wav,i ざ,i,ざ,a,i->a,685.976000,374.999000,-646.414000,250.000000,83.332000,769.308000,935.976000,685.976000,1060.975000,166.668000
maoto,消臭妖精ノール,連続音,_いざんひどん.wav,i ど,i,ど,o,i->o,2219.327000,375.000000,-583.333000,250.000000,83.333000,2302.660000,2469.327000,2219.327000,2594.327000,166.667000
