comparison_id,label,mode,generated_path,reference_path,sample_rate,generated_source_rate,reference_source_rate,generated_duration_sec,reference_duration_sec,duration_delta_ms,generated_rms_db,reference_rms_db,rms_delta_db,generated_peak_db,reference_peak_db,peak_delta_db,generated_zero_crossing_rate,reference_zero_crossing_rate,zero_crossing_delta,alignment_lag_samples,alignment_lag_ms,aligned_duration_sec,waveform_rmse,normalized_cross_correlation,snr_db,log_spectral_distance_db,spectral_convergence,generated_spectral_centroid_hz,reference_spectral_centroid_hz,spectral_centroid_delta_hz,generated_spectral_rolloff95_hz,reference_spectral_rolloff95_hz,spectral_rolloff95_delta_hz,generated_spectral_slope_db_per_khz,reference_spectral_slope_db_per_khz,spectral_slope_delta_db_per_khz,generated_peak_frequency_hz,reference_peak_frequency_hz,peak_frequency_delta_hz,generated_spectral_flatness,reference_spectral_flatness,spectral_flatness_delta,generated_low_band_ratio,reference_low_band_ratio,low_band_ratio_delta,generated_mid_band_ratio,reference_mid_band_ratio,mid_band_ratio_delta,generated_high_band_ratio,reference_high_band_ratio,high_band_ratio_delta,generated_air_band_ratio,reference_air_band_ratio,air_band_ratio_delta,generated_noise_band_ratio,reference_noise_band_ratio,noise_band_ratio_delta,frame_log_spectral_distance_db,dtw_log_spectral_distance_db,generated_onset_sec,reference_onset_sec,onset_delta_ms,generated_stable_sec,reference_stable_sec,stable_delta_ms,generated_rms_rise_sec,reference_rms_rise_sec,rms_rise_delta_ms,generated_f0_hz,reference_f0_hz,f0_delta_hz,f0_delta_cents,generated_formant_confidence,reference_formant_confidence,generated_formant_notes,reference_formant_notes,formant_mae_hz,generated_f1_hz,reference_f1_hz,f1_delta_hz,generated_f2_hz,reference_f2_hz,f2_delta_hz,generated_f3_hz,reference_f3_hz,f3_delta_hz,iteration
a_trial-01_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-01.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-7.952071,-12.855693,4.903623,-0.516916,-7.039131,6.522215,0.062487,0.046261,0.016227,-6157,-139.614512,0.310385,0.122241,0.249916,-1.780204,73.054717,1.102948,1295.486988,902.734431,392.752558,1385.374050,1736.550263,-351.176213,-8.564713,-3.610465,-4.954248,1378.930450,1040.641438,338.289012,0.000000,0.001709,-0.001709,0.099639,0.412789,-0.313149,0.897530,0.584501,0.313029,0.002830,0.002710,0.000120,0.000050,0.000070,-0.000020,0.002880,0.002780,0.000100,43.682086,43.682086,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,344.531250,347.244094,-2.712844,-13.578376,1.000000,0.666667,,missing_2,396.535406,856.758039,1058.452727,-201.694688,1381.191541,,,2424.493161,1833.117036,591.376125,1
a_trial-02_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-02.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.019714,-12.855693,3.835980,-0.452152,-7.039131,6.586979,0.062941,0.046261,0.016680,-10219,-231.723356,0.218277,0.107370,0.411661,-0.813351,43.242226,0.790617,1260.429272,907.785457,352.643815,1392.728028,1736.328693,-343.600665,-7.659455,-3.689960,-3.969496,1388.146686,1039.964679,348.182007,0.000000,0.001467,-0.001467,0.057271,0.405655,-0.348385,0.941505,0.591975,0.349530,0.001224,0.002369,-0.001145,0.000017,0.000072,-0.000055,0.001242,0.002441,-0.001200,22.905359,22.905359,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,204.349761,950.896628,1050.002517,-99.105890,1373.926038,,,2136.512011,1826.918378,309.593633,2
a_trial-03_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-03.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-8.391626,-12.855693,4.464067,-0.450462,-7.039131,6.588669,0.062941,0.046261,0.016680,-1446,-32.789116,0.417211,0.126451,0.201399,-2.034243,47.927677,1.104639,1264.715221,920.855102,343.860119,1390.184249,1732.936573,-342.752323,-4.831004,-3.542798,-1.288206,1387.787380,1037.844448,349.942932,0.000000,0.001852,-0.001852,0.075531,0.395779,-0.320248,0.923412,0.601013,0.322399,0.001057,0.003208,-0.002151,0.000012,0.000059,-0.000047,0.001068,0.003266,-0.002198,23.740103,23.740103,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,344.531250,2.712844,13.578376,1.000000,0.666667,,missing_2,296.298180,906.138720,1065.741082,-159.602362,1378.727587,,,2250.054480,1817.060483,432.993997,3
a_trial-04_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-04.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-8.530997,-12.855693,4.324696,-0.493591,-7.039131,6.545540,0.062487,0.046261,0.016227,-6136,-139.138322,0.310862,0.119621,0.282417,-1.590100,76.374393,1.082651,1256.249137,902.813779,353.435358,1380.035013,1737.107010,-357.071996,-10.337299,-3.605303,-6.731997,1376.818149,1039.047341,337.770807,0.000000,0.001730,-0.001730,0.089717,0.412685,-0.322968,0.908878,0.584603,0.324275,0.001405,0.002712,-0.001307,0.000016,0.000070,-0.000054,0.001421,0.002782,-0.001361,45.257693,45.257693,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,344.531250,347.244094,-2.712844,-13.578376,1.000000,0.666667,,missing_2,293.493493,863.816306,1060.458195,-196.641889,1369.022422,,,2223.560382,1833.215285,390.345097,4
a_trial-05_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-05.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-7.880408,-12.855693,4.975285,-0.445663,-7.039131,6.593468,0.063344,0.046261,0.017083,-1473,-33.401361,0.416599,0.131787,0.132184,-2.394233,48.521596,1.294704,1310.036056,920.798071,389.237984,1399.428478,1733.082952,-333.654474,-4.840078,-3.557634,-1.282444,1397.028086,1036.969301,360.058785,0.000000,0.001842,-0.001842,0.063063,0.395798,-0.332735,0.935988,0.600997,0.334990,0.000949,0.003205,-0.002256,0.000013,0.000059,-0.000045,0.000962,0.003263,-0.002301,23.196924,23.196924,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,350.000000,344.531250,5.468750,27.264092,0.666667,0.666667,missing_2,missing_2,319.697960,871.987753,1063.948060,-191.960307,,,,2264.387935,1816.952323,447.435613,5
a_trial-06_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-06.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-8.706428,-12.855693,4.149265,-0.509830,-7.039131,6.529301,0.062084,0.046261,0.015823,889,20.158730,0.429841,0.136595,0.067251,-2.706146,47.829740,1.260583,1230.429722,924.864668,305.565053,1370.273264,1733.197932,-362.924668,-5.901360,-3.515033,-2.386327,1367.946824,1035.265879,332.680945,0.000000,0.001962,-0.001962,0.112483,0.393940,-0.281456,0.885744,0.602623,0.283121,0.001773,0.003438,-0.001665,0.000020,0.000057,-0.000037,0.001793,0.003494,-0.001702,22.991173,22.991173,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,341.860465,344.531250,-2.670785,-13.472707,1.000000,0.666667,,missing_2,303.444482,836.218711,1064.013013,-227.794303,1357.704078,,,2188.537055,1809.442394,379.094660,6
a_trial-07_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-07.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-7.755688,-12.855693,5.100006,-0.445684,-7.039131,6.593447,0.063344,0.046261,0.017083,-1474,-33.424036,0.416576,0.132090,0.128272,-2.414086,48.703234,1.295326,1319.045608,920.796044,398.249564,1399.504654,1733.177290,-333.672636,-4.798092,-3.568773,-1.229319,1397.104132,1037.025747,360.078384,0.000000,0.001836,-0.001836,0.059312,0.395800,-0.336488,0.939683,0.600995,0.338688,0.001005,0.003205,-0.002200,0.000014,0.000059,-0.000044,0.001019,0.003263,-0.002244,23.163678,23.163678,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,350.000000,344.531250,5.468750,27.264092,0.666667,0.666667,missing_2,missing_2,318.078886,860.268857,1064.701983,-204.433125,,,,2248.777336,1817.052690,431.724647,7
a_trial-08_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-08.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-8.652581,-12.855693,4.203112,-0.507301,-7.039131,6.531830,0.062084,0.046261,0.015823,889,20.158730,0.429841,0.136658,0.066400,-2.710155,47.928696,1.261079,1233.092672,924.864668,308.228004,1370.273264,1733.197932,-362.924668,-6.012878,-3.515033,-2.497846,1367.946824,1035.265879,332.680945,0.000000,0.001962,-0.001962,0.112611,0.393940,-0.281329,0.885606,0.602623,0.282983,0.001783,0.003438,-0.001655,0.000020,0.000057,-0.000037,0.001802,0.003494,-0.001692,23.008777,23.008777,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,341.860465,344.531250,-2.670785,-13.472707,1.000000,0.666667,,missing_2,304.014369,830.296479,1064.013013,-233.716535,1357.870177,,,2183.754598,1809.442394,374.312204,8
a_trial-09_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-09.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-7.732795,-12.855693,5.122898,-0.445685,-7.039131,6.593446,0.063344,0.046261,0.017083,-1474,-33.424036,0.416576,0.132149,0.127489,-2.417997,48.733378,1.295751,1320.104491,920.796044,399.308447,1399.504654,1733.177290,-333.672636,-4.789608,-3.568773,-1.220835,1397.104132,1037.025747,360.078384,0.000000,0.001836,-0.001836,0.059078,0.395800,-0.336722,0.939917,0.600995,0.338922,0.001005,0.003205,-0.002200,0.000014,0.000059,-0.000044,0.001019,0.003263,-0.002244,23.188187,23.188187,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,350.000000,344.531250,5.468750,27.264092,0.666667,0.666667,missing_2,missing_2,318.255906,857.617632,1064.701983,-207.084351,,,,2246.480151,1817.052690,429.427461,9
a_trial-10_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a/trial-10.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.019714,-12.855693,3.835980,-0.452152,-7.039131,6.586979,0.062941,0.046261,0.016680,-10219,-231.723356,0.218277,0.107370,0.411661,-0.813351,43.242226,0.790617,1260.429272,907.785457,352.643815,1392.728028,1736.328693,-343.600665,-7.659455,-3.689960,-3.969496,1388.146686,1039.964679,348.182007,0.000000,0.001467,-0.001467,0.057271,0.405655,-0.348385,0.941505,0.591975,0.349530,0.001224,0.002369,-0.001145,0.000017,0.000072,-0.000055,0.001242,0.002441,-0.001200,22.905359,22.905359,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,204.349761,950.896628,1050.002517,-99.105890,1373.926038,,,2136.512011,1826.918378,309.593633,10
