comparison_id,label,mode,generated_path,reference_path,sample_rate,generated_source_rate,reference_source_rate,generated_duration_sec,reference_duration_sec,duration_delta_ms,generated_rms_db,reference_rms_db,rms_delta_db,generated_peak_db,reference_peak_db,peak_delta_db,generated_zero_crossing_rate,reference_zero_crossing_rate,zero_crossing_delta,alignment_lag_samples,alignment_lag_ms,aligned_duration_sec,waveform_rmse,normalized_cross_correlation,snr_db,log_spectral_distance_db,spectral_convergence,generated_spectral_centroid_hz,reference_spectral_centroid_hz,spectral_centroid_delta_hz,generated_spectral_rolloff95_hz,reference_spectral_rolloff95_hz,spectral_rolloff95_delta_hz,generated_spectral_slope_db_per_khz,reference_spectral_slope_db_per_khz,spectral_slope_delta_db_per_khz,generated_peak_frequency_hz,reference_peak_frequency_hz,peak_frequency_delta_hz,generated_spectral_flatness,reference_spectral_flatness,spectral_flatness_delta,generated_low_band_ratio,reference_low_band_ratio,low_band_ratio_delta,generated_mid_band_ratio,reference_mid_band_ratio,mid_band_ratio_delta,generated_high_band_ratio,reference_high_band_ratio,high_band_ratio_delta,generated_air_band_ratio,reference_air_band_ratio,air_band_ratio_delta,generated_noise_band_ratio,reference_noise_band_ratio,noise_band_ratio_delta,frame_log_spectral_distance_db,dtw_log_spectral_distance_db,generated_onset_sec,reference_onset_sec,onset_delta_ms,generated_stable_sec,reference_stable_sec,stable_delta_ms,generated_rms_rise_sec,reference_rms_rise_sec,rms_rise_delta_ms,generated_f0_hz,reference_f0_hz,f0_delta_hz,f0_delta_cents,generated_formant_confidence,reference_formant_confidence,generated_formant_notes,reference_formant_notes,formant_mae_hz,generated_f1_hz,reference_f1_hz,f1_delta_hz,generated_f2_hz,reference_f2_hz,f2_delta_hz,generated_f3_hz,reference_f3_hz,f3_delta_hz,iteration
a_trial-01_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-01.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-7.952071,-12.855693,4.903623,-0.516916,-7.039131,6.522215,0.062487,0.046261,0.016227,-6157,-139.614512,0.310385,0.122241,0.249916,-1.780204,73.054717,1.102948,1295.486988,902.734431,392.752558,1385.374050,1736.550263,-351.176213,-8.564713,-3.610465,-4.954248,1378.930450,1040.641438,338.289012,0.000000,0.001709,-0.001709,0.099639,0.412789,-0.313149,0.897530,0.584501,0.313029,0.002830,0.002710,0.000120,0.000050,0.000070,-0.000020,0.002880,0.002780,0.000100,43.682086,43.682086,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,344.531250,347.244094,-2.712844,-13.578376,1.000000,0.666667,,missing_2,396.535406,856.758039,1058.452727,-201.694688,1381.191541,,,2424.493161,1833.117036,591.376125,1
a_trial-02_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-02.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.215323,-12.855693,3.640370,-0.467793,-7.039131,6.571338,0.062941,0.046261,0.016680,-10091,-228.820862,0.221179,0.106073,0.425944,-0.705712,43.296639,0.741650,1236.788247,906.953123,329.835125,1392.536395,1736.149272,-343.612877,-7.799787,-3.643906,-4.155881,1388.015173,1039.881074,348.134099,0.000000,0.001491,-0.001491,0.069148,0.406802,-0.337654,0.929638,0.590813,0.338826,0.001214,0.002385,-0.001171,0.000017,0.000072,-0.000056,0.001231,0.002458,-0.001227,22.779200,22.779200,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,199.714939,950.075747,1050.205628,-100.129881,1370.114414,,,2126.890833,1827.590837,299.299996,2
a_trial-03_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-03.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.380166,-12.855693,3.475528,-0.499167,-7.039131,6.539964,0.062891,0.046261,0.016630,-10021,-227.233560,0.222766,0.104521,0.442995,-0.578540,43.114583,0.688174,1212.254796,906.511552,305.743243,1391.592020,1737.245521,-345.653502,-6.899301,-3.614453,-3.284848,1387.103013,1041.449511,345.653502,0.000000,0.001471,-0.001471,0.082083,0.407390,-0.325307,0.916715,0.590216,0.326499,0.001201,0.002394,-0.001192,0.000017,0.000073,-0.000056,0.001218,0.002466,-0.001248,22.339631,22.339631,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,193.116778,950.706583,1050.153487,-99.446903,1365.500365,,,2114.725697,1827.939045,286.786652,3
a_trial-04_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-04.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.544443,-12.855693,3.311250,-0.557745,-7.039131,6.481386,0.062891,0.046261,0.016630,-10148,-230.113379,0.219887,0.102323,0.466187,-0.397104,42.846331,0.634407,1187.769358,907.320541,280.448817,1732.711148,1737.258946,-4.547798,-7.130781,-3.706472,-3.424309,1041.445808,1041.445808,0.000000,0.000000,0.001470,-0.001470,0.095752,0.406279,-0.310527,0.903063,0.591343,0.311720,0.001185,0.002378,-0.001193,0.000016,0.000072,-0.000056,0.001202,0.002451,-0.001249,22.290645,22.290645,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,183.884352,953.598357,1049.905625,-96.307268,1359.876990,,,2098.739625,1827.278189,271.461436,4
a_trial-05_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-05.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.683288,-12.855693,3.172406,-0.629822,-7.039131,6.409309,0.062891,0.046261,0.016630,-10147,-230.090703,0.219909,0.100818,0.481917,-0.268313,42.732422,0.584493,1164.339084,907.313714,257.025370,1732.532481,1737.079810,-4.547329,-7.766219,-3.683856,-4.082363,1041.338420,1041.338420,0.000000,0.000000,0.001488,-0.001488,0.109767,0.406287,-0.296520,0.889068,0.591334,0.297734,0.001165,0.002378,-0.001214,0.000016,0.000072,-0.000056,0.001181,0.002451,-0.001270,22.239430,22.239430,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,169.572118,959.899223,1049.657771,-89.758548,1352.743305,,,2076.644799,1827.259113,249.385687,5
a_trial-06_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-06.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.785808,-12.855693,3.069885,-0.704513,-7.039131,6.334618,0.047168,0.046261,0.000907,-10020,-227.210884,0.222789,0.100143,0.489025,-0.206772,42.877049,0.539887,1142.934469,906.504981,236.429488,1732.580153,1737.068702,-4.488550,-7.568810,-3.635021,-3.933789,1041.343511,1041.343511,0.000000,0.000000,0.001483,-0.001483,0.123720,0.407398,-0.283678,0.875140,0.590208,0.284932,0.001140,0.002394,-0.001254,0.000015,0.000073,-0.000057,0.001156,0.002466,-0.001311,22.267080,22.267080,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,147.480443,971.391363,1049.922424,-78.531061,1342.628472,,,2044.348830,1827.919004,216.429826,6
a_trial-07_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-07.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.838291,-12.855693,3.017403,-0.767388,-7.039131,6.271743,0.047168,0.046261,0.000907,-10028,-227.392290,0.222608,0.099054,0.499382,-0.115166,42.834254,0.493897,1124.386611,906.554289,217.832322,1733.992055,1738.484262,-4.492207,-7.625600,-3.674930,-3.950671,1042.192116,1042.192116,0.000000,0.000000,0.001474,-0.001474,0.137223,0.407335,-0.270112,0.861666,0.590272,0.271394,0.001112,0.002393,-0.001281,0.000015,0.000073,-0.000058,0.001126,0.002466,-0.001339,22.031702,22.031702,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,116.051946,995.232317,1050.369607,-55.137290,1337.775765,,,2004.902195,1827.935592,176.966603,7
a_trial-08_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-08.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.857784,-12.855693,2.997910,-0.822563,-7.039131,6.216568,0.047168,0.046261,0.000907,-10156,-230.294785,0.219705,0.097449,0.515317,0.023212,42.949657,0.453238,1109.356899,907.371615,201.985283,1734.141810,1738.693364,-4.551553,-7.253066,-3.645421,-3.607645,1042.305708,1042.305708,0.000000,0.000000,0.001465,-0.001465,0.149938,0.406213,-0.256275,0.848982,0.591410,0.257572,0.001080,0.002377,-0.001297,0.000014,0.000072,-0.000058,0.001094,0.002449,-0.001355,22.078229,22.078229,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,69.774566,1020.102049,1049.709323,-29.607274,1329.976583,,,1937.176790,1827.234933,109.941857,8
a_trial-09_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-09.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.842641,-12.855693,3.013053,-0.834219,-7.039131,6.204912,0.047168,0.046261,0.000907,-10156,-230.294785,0.219705,0.097025,0.519529,0.061091,42.877531,0.436571,1103.354379,907.371615,195.982764,1734.141810,1738.693364,-4.551553,-7.153539,-3.645421,-3.508119,1042.305708,1042.305708,0.000000,0.000000,0.001465,-0.001465,0.155901,0.406213,-0.250312,0.843036,0.591410,0.251626,0.001063,0.002377,-0.001314,0.000013,0.000072,-0.000059,0.001077,0.002449,-0.001373,22.075036,22.075036,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,44.510082,1029.112438,1049.709323,-20.596885,1323.612784,,,1895.658212,1827.234933,68.423278,9
a_trial-10_vs_あ,a,vowel,research/data/raw/generated/vowel-match-a-improved/trial-10.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,44100,44100,44100,0.450000,0.450000,0.000000,-9.842641,-12.855693,3.013053,-0.834219,-7.039131,6.204912,0.047168,0.046261,0.000907,-10156,-230.294785,0.219705,0.097025,0.519529,0.061091,42.877531,0.436571,1103.354379,907.371615,195.982764,1734.141810,1738.693364,-4.551553,-7.153539,-3.645421,-3.508119,1042.305708,1042.305708,0.000000,0.000000,0.001465,-0.001465,0.155901,0.406213,-0.250312,0.843036,0.591410,0.251626,0.001063,0.002377,-0.001314,0.000013,0.000072,-0.000059,0.001077,0.002449,-0.001373,22.075036,22.075036,0.011610,0.011610,0.000000,0.011610,0.011610,0.000000,0.000000,0.000000,0.000000,347.244094,347.244094,0.000000,0.000000,1.000000,0.666667,,missing_2,44.510082,1029.112438,1049.709323,-20.596885,1323.612784,,,1895.658212,1827.234933,68.423278,10
