iteration,generated_wav,score,f0_hz,f1_hz,f2_hz,f3_hz,b1_hz,b2_hz,b3_hz,g1,g2,g3,source_tilt,spectral_match,log_spectral_distance_db,spectral_convergence,normalized_cross_correlation,f0_delta_cents,formant_mae_hz,spectral_centroid_delta_hz,spectral_slope_delta_db_per_khz,f1_delta_hz,f2_delta_hz,f3_delta_hz
1,research/data/raw/generated/vowel-match-a-improved/trial-01.wav,88.669039,344.531250,962.000000,1405.000000,2378.000000,123.000000,74.000000,102.000000,0.460000,1.000000,0.230000,1.000000,0.000000,73.054717,1.102948,0.249916,-13.578376,396.535406,392.752558,-4.954248,-201.694688,,591.376125
2,research/data/raw/generated/vowel-match-a-improved/trial-02.wav,53.490051,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,0.100000,43.296639,0.741650,0.425944,0.000000,199.714939,329.835125,-4.155881,-100.129881,,299.299996
3,research/data/raw/generated/vowel-match-a-improved/trial-03.wav,52.603753,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,0.200000,43.114583,0.688174,0.442995,0.000000,193.116778,305.743243,-3.284848,-99.446903,,286.786652
4,research/data/raw/generated/vowel-match-a-improved/trial-04.wav,51.615426,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,0.300000,42.846331,0.634407,0.466187,0.000000,183.884352,280.448817,-3.424309,-96.307268,,271.461436
5,research/data/raw/generated/vowel-match-a-improved/trial-05.wav,50.810165,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,0.400000,42.732422,0.584493,0.481917,0.000000,169.572118,257.025370,-4.082363,-89.758548,,249.385687
6,research/data/raw/generated/vowel-match-a-improved/trial-06.wav,50.300259,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,0.500000,42.877049,0.539887,0.489025,0.000000,147.480443,236.429488,-3.933789,-78.531061,,216.429826
7,research/data/raw/generated/vowel-match-a-improved/trial-07.wav,49.551974,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,0.600000,42.834254,0.493897,0.499382,0.000000,116.051946,217.832322,-3.950671,-55.137290,,176.966603
8,research/data/raw/generated/vowel-match-a-improved/trial-08.wav,48.970589,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,0.700000,42.949657,0.453238,0.515317,0.000000,69.774566,201.985283,-3.607645,-29.607274,,109.941857
9,research/data/raw/generated/vowel-match-a-improved/trial-09.wav,48.588397,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,0.750000,42.877531,0.436571,0.519529,0.000000,44.510082,195.982764,-3.508119,-20.596885,,68.423278
10,research/data/raw/generated/vowel-match-a-improved/trial-10.wav,48.588397,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,0.750000,42.877531,0.436571,0.519529,0.000000,44.510082,195.982764,-3.508119,-20.596885,,68.423278
