iteration,generated_wav,score,f0_hz,f1_hz,f2_hz,f3_hz,b1_hz,b2_hz,b3_hz,g1,g2,g3,source_tilt,log_spectral_distance_db,spectral_convergence,normalized_cross_correlation,f0_delta_cents,formant_mae_hz,spectral_centroid_delta_hz,spectral_slope_delta_db_per_khz,f1_delta_hz,f2_delta_hz,f3_delta_hz
1,research/data/raw/generated/vowel-match-a/trial-01.wav,88.669039,344.531250,962.000000,1405.000000,2378.000000,123.000000,74.000000,102.000000,0.460000,1.000000,0.230000,1.000000,73.054717,1.102948,0.249916,-13.578376,396.535406,392.752558,-4.954248,-201.694688,,591.376125
2,research/data/raw/generated/vowel-match-a/trial-02.wav,54.075995,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,43.242226,0.790617,0.411661,0.000000,204.349761,352.643815,-3.969496,-99.105890,,309.593633
3,research/data/raw/generated/vowel-match-a/trial-03.wav,63.088004,346.837167,1127.440318,1405.000000,1882.466633,123.000000,74.000000,102.000000,0.441784,1.000000,0.268272,1.298159,47.927677,1.104639,0.201399,13.578376,296.298180,343.860119,-1.288206,-159.602362,,432.993997
4,research/data/raw/generated/vowel-match-a/trial-04.wav,91.274008,344.531250,1160.713378,1405.000000,1814.596433,123.000000,74.000000,102.000000,0.441784,1.000000,0.268272,1.294645,76.374393,1.082651,0.282417,-13.578376,293.493493,353.435358,-6.731997,-196.641889,,390.345097
5,research/data/raw/generated/vowel-match-a/trial-05.wav,66.329654,349.143085,1181.085117,1405.000000,1838.053328,123.000000,74.000000,102.000000,0.441784,1.000000,0.268272,1.298475,48.521596,1.294704,0.132184,27.264092,319.697960,389.237984,-1.282444,-191.960307,,447.435613
6,research/data/raw/generated/vowel-match-a/trial-06.wav,64.830952,342.188730,1178.510247,1405.000000,1806.653544,123.000000,74.000000,102.000000,0.441784,1.000000,0.268272,1.312796,47.829740,1.260583,0.067251,-13.472707,303.444482,305.565053,-2.386327,-227.794303,,379.094660
7,research/data/raw/generated/vowel-match-a/trial-07.wav,66.525797,349.107335,1198.218945,1405.000000,1844.241068,123.000000,74.000000,102.000000,0.441784,1.000000,0.268272,1.279327,48.703234,1.295326,0.128272,27.264092,318.078886,398.249564,-1.229319,-204.433125,,431.724647
8,research/data/raw/generated/vowel-match-a/trial-08.wav,64.942134,342.188730,1185.370297,1405.000000,1815.294575,123.000000,74.000000,102.000000,0.441784,1.000000,0.268272,1.316401,47.928696,1.261079,0.066400,-13.472707,304.014369,308.228004,-2.497846,-233.716535,,374.312204
9,research/data/raw/generated/vowel-match-a/trial-09.wav,66.563338,349.107335,1201.476173,1405.000000,1846.871419,123.000000,74.000000,102.000000,0.441784,1.000000,0.268272,1.280392,48.733378,1.295751,0.127489,27.264092,318.255906,399.308447,-1.220835,-207.084351,,429.427461
10,research/data/raw/generated/vowel-match-a/trial-10.wav,54.075995,346.837167,1072.932078,1405.000000,2052.743131,123.000000,74.000000,102.000000,0.450800,1.000000,0.248400,1.157101,43.242226,0.790617,0.411661,0.000000,204.349761,352.643815,-3.969496,-99.105890,,309.593633
