sample_id,relative_path,kind,profile,label,speaker_id,source_recording_id,split,license,source,subset
utau-maoto-単独音-あ,../../../../data/raw/reference/utau-samples/maoto/単独音/あ.wav,human,sustained-vowel,あ,maoto,utau-maoto-単独音-あ,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音/oto.ini,単独音
utau-maoto-単独音-い,../../../../data/raw/reference/utau-samples/maoto/単独音/い.wav,human,sustained-vowel,い,maoto,utau-maoto-単独音-い,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音/oto.ini,単独音
utau-maoto-単独音-う,../../../../data/raw/reference/utau-samples/maoto/単独音/う.wav,human,sustained-vowel,う,maoto,utau-maoto-単独音-う,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音/oto.ini,単独音
utau-maoto-単独音-え,../../../../data/raw/reference/utau-samples/maoto/単独音/え.wav,human,sustained-vowel,え,maoto,utau-maoto-単独音-え,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音/oto.ini,単独音
utau-maoto-単独音-お,../../../../data/raw/reference/utau-samples/maoto/単独音/お.wav,human,sustained-vowel,お,maoto,utau-maoto-単独音-お,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音/oto.ini,単独音
utau-maoto-単独音-し,../../../../data/raw/reference/utau-samples/maoto/単独音/し.wav,human,fricative-noise,し,maoto,utau-maoto-単独音-し,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音/oto.ini,単独音
utau-maoto-単独音-す,../../../../data/raw/reference/utau-samples/maoto/単独音/す.wav,human,fricative-noise,す,maoto,utau-maoto-単独音-す,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音/oto.ini,単独音
utau-maoto-単独音soft-あ,../../../../data/raw/reference/utau-samples/maoto/単独音soft/あ.wav,human,sustained-vowel,あ,maoto,utau-maoto-単独音soft-あ,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音soft/oto.ini,単独音soft
utau-maoto-単独音soft-い,../../../../data/raw/reference/utau-samples/maoto/単独音soft/い.wav,human,sustained-vowel,い,maoto,utau-maoto-単独音soft-い,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音soft/oto.ini,単独音soft
utau-maoto-単独音soft-う,../../../../data/raw/reference/utau-samples/maoto/単独音soft/う.wav,human,sustained-vowel,う,maoto,utau-maoto-単独音soft-う,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音soft/oto.ini,単独音soft
