task_id,generated_path,reference_path,profile,label,reference_split,variant
a-original-01,research/data/raw/generated/vowel-match-a/trial-01.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-original-02,research/data/raw/generated/vowel-match-a/trial-02.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-original-03,research/data/raw/generated/vowel-match-a/trial-03.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-original-04,research/data/raw/generated/vowel-match-a/trial-04.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-original-05,research/data/raw/generated/vowel-match-a/trial-05.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-original-06,research/data/raw/generated/vowel-match-a/trial-06.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-original-07,research/data/raw/generated/vowel-match-a/trial-07.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-original-08,research/data/raw/generated/vowel-match-a/trial-08.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-original-09,research/data/raw/generated/vowel-match-a/trial-09.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-original-10,research/data/raw/generated/vowel-match-a/trial-10.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,original
a-improved-01,research/data/raw/generated/vowel-match-a-improved/trial-01.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
a-improved-02,research/data/raw/generated/vowel-match-a-improved/trial-02.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
a-improved-03,research/data/raw/generated/vowel-match-a-improved/trial-03.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
a-improved-04,research/data/raw/generated/vowel-match-a-improved/trial-04.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
a-improved-05,research/data/raw/generated/vowel-match-a-improved/trial-05.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
a-improved-06,research/data/raw/generated/vowel-match-a-improved/trial-06.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
a-improved-07,research/data/raw/generated/vowel-match-a-improved/trial-07.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
a-improved-08,research/data/raw/generated/vowel-match-a-improved/trial-08.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
a-improved-09,research/data/raw/generated/vowel-match-a-improved/trial-09.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
a-improved-10,research/data/raw/generated/vowel-match-a-improved/trial-10.wav,research/data/raw/reference/utau-samples/maoto/単独音/あ.wav,sustained-vowel,あ,development,spectral-match
