presentation_id,pair_id,hypothesis,question,duplicate_of,a_stimulus_id,a_condition,a_sha256,b_stimulus_id,b_condition,b_sha256
T01,onset-kaneda-modal-a--short-loop,H6,短いループの影響,,onset-kaneda-modal-a--A1-onset-shortened,A1-onset-shortened,2435d1de58c5154b7444118bfc743bf9796c9d2314d880e25239d26d99b1f86a,onset-kaneda-modal-a--A4-loop-short-40ms,A4-loop-short-40ms,b31af96ab4aee6faaaa13edb280e72cff6e9d36f47f4235651269c0c7b0f8a42
T02,onset-kaneda-modal-a--long-loop,H6,長いループの影響,,onset-kaneda-modal-a--A3-loop-long,A3-loop-long,c2cfed54a6c6a44271769e117d268ece2a6e336514235b2414b8b3255796a44b,onset-kaneda-modal-a--A1-onset-shortened,A1-onset-shortened,2435d1de58c5154b7444118bfc743bf9796c9d2314d880e25239d26d99b1f86a
T03,onset-kaneda-dark-a--long-loop,H6,長いループの影響,,onset-kaneda-dark-a--A1-onset-shortened,A1-onset-shortened,6b4b4ef643da11833f9d85e1ad24aed9b6d82c32b156b66fd6644c3333576b17,onset-kaneda-dark-a--A3-loop-long,A3-loop-long,6fc885477ef39cbb99e8645adbb87fc6627bd8a8efd25acfde11f093be26853f
T04,synthetic--formant-ablation,H5,formant収束軌道,,C6-coupled,C6-coupled,a5f95202404d65f62a7d5cbffbadc33de68c170198003e3eb2513a027a9f216e,C6-no-formant,C6-no-formant,009144448d1922bb1b86bb45c6e83139b8fc90a9fcdca53b519396d3e07972e0
T05,synthetic--gain-vs-coupled,H3,ゲイン包絡と複合開始モデル,,C1-gain,C1-gain,0d547f6527117e6563ed17371135f8f075d33942990c28833f9909d7df1cfd1e,C6-coupled,C6-coupled,a5f95202404d65f62a7d5cbffbadc33de68c170198003e3eb2513a027a9f216e
T06,onset-kaneda-dark-a--original-vs-shortened,control,短縮処理自体の影響,onset-kaneda-dark-a--original-vs-shortened,onset-kaneda-dark-a--A1-onset-shortened,A1-onset-shortened,6b4b4ef643da11833f9d85e1ad24aed9b6d82c32b156b66fd6644c3333576b17,onset-kaneda-dark-a--A0-original,A0-original,994c9f7ecbe8e9e34be7939038b849d25f061ba2ec18ae98f53611a27f829bf3
T07,onset-kaneda-dark-a--original-vs-shortened,control,短縮処理自体の影響,,onset-kaneda-dark-a--A1-onset-shortened,A1-onset-shortened,6b4b4ef643da11833f9d85e1ad24aed9b6d82c32b156b66fd6644c3333576b17,onset-kaneda-dark-a--A0-original,A0-original,994c9f7ecbe8e9e34be7939038b849d25f061ba2ec18ae98f53611a27f829bf3
T08,onset-kaneda-dark-a--variation-relationship,H4,変動の時間関係,,onset-kaneda-dark-a--A6-loop-independent-variation,A6-loop-independent-variation,81037cda3d74e6e911c61037b8ec8bfffe3865ebaed648994b030940b8ab6e00,onset-kaneda-dark-a--A5-loop-correlated-variation,A5-loop-correlated-variation,2165d1e86f082f0d8b53f4cfdd1bb7399d54fdb79c735d475c895abbba3273aa
T09,onset-kaneda-modal-a--variation-relationship,H4,変動の時間関係,,onset-kaneda-modal-a--A5-loop-correlated-variation,A5-loop-correlated-variation,faf56084902735c34b8b2957cc4efbb8f32ff58b56a5d417692ff47058c185cb,onset-kaneda-modal-a--A6-loop-independent-variation,A6-loop-independent-variation,963d4fd1ed9b87e4ce774c91a439bbe7fcc5d03f3243341fb88d458ad65171c0
T10,onset-kaneda-dark-a--onset-vs-stable,H1,開始部を残す効果,,onset-kaneda-dark-a--A1-onset-shortened,A1-onset-shortened,6b4b4ef643da11833f9d85e1ad24aed9b6d82c32b156b66fd6644c3333576b17,onset-kaneda-dark-a--A2-stable-only,A2-stable-only,39258bf3acb8ff5e8ae6daa6d74c91f27dc496ac07b0885c420b58078aee450f
T11,onset-kaneda-dark-a--short-loop,H6,短いループの影響,,onset-kaneda-dark-a--A4-loop-short-40ms,A4-loop-short-40ms,b62ee72951a3a2b2fb84eb43c485be6155ef2cdb237c99537ff1c713e0bec6a6,onset-kaneda-dark-a--A1-onset-shortened,A1-onset-shortened,6b4b4ef643da11833f9d85e1ad24aed9b6d82c32b156b66fd6644c3333576b17
T12,onset-kaneda-modal-a--original-vs-shortened,control,短縮処理自体の影響,,onset-kaneda-modal-a--A0-original,A0-original,cba6b53800660c270ab121cd8c787f70ad32d447d2a834d64f4420a3d8cfa07c,onset-kaneda-modal-a--A1-onset-shortened,A1-onset-shortened,2435d1de58c5154b7444118bfc743bf9796c9d2314d880e25239d26d99b1f86a
T13,synthetic--correlated-vs-independent,H4,合成変動の相関構造,,C7-independent,C7-independent,48cf9a743b461f3618a310b5e6cb9c34f788472c0f2fb04ba6f68edde524c43c,C6-coupled,C6-coupled,a5f95202404d65f62a7d5cbffbadc33de68c170198003e3eb2513a027a9f216e
T14,synthetic--formant-ablation,H5,formant収束軌道,synthetic--formant-ablation,C6-coupled,C6-coupled,a5f95202404d65f62a7d5cbffbadc33de68c170198003e3eb2513a027a9f216e,C6-no-formant,C6-no-formant,009144448d1922bb1b86bb45c6e83139b8fc90a9fcdca53b519396d3e07972e0
T15,onset-kaneda-modal-a--onset-vs-stable,H1,開始部を残す効果,,onset-kaneda-modal-a--A2-stable-only,A2-stable-only,08d74d898e9ecb8c44451204ef938584226c5b8c42cc6a9a9957b5702efefba8,onset-kaneda-modal-a--A1-onset-shortened,A1-onset-shortened,2435d1de58c5154b7444118bfc743bf9796c9d2314d880e25239d26d99b1f86a
